	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61
L23	0.12868638	0.13164215	0.13616854	0.13540204	0.13552235	0.13561273	0.13588575	0.14342645	0.14672683	0.14993857	0.2868314	0.29503337	0.33990738	0.39412057	0.44374117	0.43747634	0.44922802	0.45015	0.44901285	0.47359446	0.5287026	0.6019887	0.6381468	0.69479495	0.7028313	0.70047915	0.7197963	0.7308359	0.74585426	0.7492124	0.75156397	0.7551515	0.73436636	0.7240303	0.72339994	0.7312716	0.733725	0.7323006	0.7395096	0.731049	0.69215095	0.7054735	0.69886786	0.69278204	0.69674414	0.6916393	0.6922046	0.66281086	0.6560196	0.6458482	0.6342499	0.6460247	0.6097056	0.6300582	0.57488304	0.5616603	0.57792336	0.5900773	0.57245624	0.55001646
L24	0.11011549	0.11301252	0.117096946	0.116467446	0.116606586	0.11672762	0.117226124	0.12478714	0.12819952	0.13125296	0.26513326	0.27219957	0.31274343	0.36355618	0.41077778	0.4047424	0.4159222	0.41349715	0.41192755	0.43512398	0.48765254	0.5626593	0.59952784	0.6556752	0.6636354	0.6616386	0.6811189	0.6946029	0.71205485	0.7166603	0.7206871	0.7232572	0.69950265	0.68869936	0.68740755	0.69567734	0.70175415	0.70037854	0.70789975	0.70007855	0.6597338	0.6711141	0.6648172	0.6569122	0.65834105	0.65288347	0.6531555	0.62232053	0.61559594	0.6070318	0.5967712	0.6084111	0.57084244	0.593146	0.53557354	0.52237254	0.5408223	0.55588686	0.5358214	0.51399183
L25	0.12288222	0.12550724	0.13066627	0.12984513	0.12997395	0.13008426	0.13054566	0.13795501	0.14009994	0.14248525	0.27566472	0.2834292	0.32463846	0.3761496	0.42380282	0.41849485	0.42988986	0.42864043	0.42865452	0.45308045	0.508531	0.5825008	0.617992	0.6710021	0.6802948	0.67954475	0.6998675	0.7101045	0.72466755	0.7272095	0.7298226	0.7339106	0.7135163	0.7012021	0.6993011	0.7083506	0.7128504	0.7117117	0.71967524	0.7116125	0.67209417	0.6815818	0.6753592	0.6702075	0.6705052	0.6602756	0.6598265	0.62849015	0.6205799	0.6098536	0.59803104	0.6102707	0.57429844	0.59420174	0.53677356	0.52320224	0.54131204	0.55568755	0.53651875	0.5130827
L26	0.15049687	0.15320249	0.15933406	0.15836449	0.1584781	0.15857655	0.15881903	0.16667297	0.16755109	0.1689116	0.29928872	0.30861065	0.35316858	0.40497908	0.45047605	0.4466338	0.4584728	0.45885062	0.46041167	0.4863094	0.546837	0.6182175	0.65195996	0.70191365	0.7114112	0.7116565	0.73488253	0.7404395	0.7500953	0.7531596	0.75430876	0.75831735	0.7418473	0.72847027	0.7267863	0.7415241	0.74263346	0.7408506	0.75027066	0.74148566	0.70009977	0.70620173	0.69934964	0.69897974	0.70064056	0.6879894	0.6882688	0.6567244	0.6475925	0.6358628	0.62252915	0.63378096	0.59729826	0.6138676	0.55781764	0.54199404	0.5602415	0.5734085	0.5542457	0.5303775
L27	0.16239278	0.16524616	0.17080873	0.1697997	0.16995971	0.17007323	0.17029515	0.1788531	0.1800272	0.18203725	0.31499252	0.3260767	0.37392652	0.42802104	0.47413015	0.47050807	0.48257905	0.48661968	0.48829722	0.51626223	0.57898426	0.64922065	0.6810177	0.7276619	0.73603034	0.73605305	0.75578856	0.76071084	0.76878166	0.7708553	0.76829505	0.77674735	0.7610427	0.74796206	0.74605095	0.7584533	0.75846803	0.7558761	0.7645786	0.75661796	0.7165695	0.7257301	0.7188075	0.71989834	0.7235083	0.7113528	0.7117985	0.68232614	0.6728422	0.65992564	0.64640015	0.6575374	0.62508243	0.6404123	0.5880231	0.57323444	0.58962196	0.60087967	0.584581	0.56087744
L28	0.1607174	0.16386323	0.16858135	0.16778094	0.16798177	0.16812767	0.16824766	0.17718652	0.17922978	0.18192376	0.316882	0.3269757	0.376471	0.4311887	0.47725692	0.47250754	0.48471838	0.48928475	0.49008247	0.51708955	0.5770678	0.64531624	0.67833596	0.72715926	0.7366768	0.7379887	0.7595465	0.7663894	0.7773306	0.7805807	0.7788721	0.7872452	0.7682813	0.7541626	0.75246996	0.76327384	0.7649504	0.7636703	0.773082	0.7678922	0.7281197	0.7405684	0.7337997	0.73302007	0.73901397	0.7326733	0.73296326	0.7021868	0.6942684	0.6842128	0.6721153	0.6816221	0.6448755	0.66431105	0.60980564	0.59469795	0.6137784	0.6270608	0.6069366	0.5843979
L29	0.16850722	0.17184795	0.17643343	0.17559792	0.17581615	0.17597519	0.1758596	0.18597586	0.1879057	0.19124329	0.32641354	0.33748525	0.3888004	0.4439641	0.4875466	0.482865	0.49479666	0.49826324	0.49910444	0.5256212	0.5886269	0.6554924	0.68527025	0.73263663	0.7421312	0.7441208	0.76692504	0.77465355	0.7854756	0.7898437	0.7877424	0.7967988	0.7786051	0.7644712	0.76353157	0.7804041	0.783162	0.78269726	0.7942673	0.7886613	0.7463459	0.7565119	0.7488717	0.7506357	0.7570034	0.7501852	0.7496186	0.71797454	0.7084743	0.70075333	0.68854696	0.69536656	0.6549498	0.6726393	0.61869264	0.6011701	0.6221465	0.63716364	0.6140463	0.5933991
L30	0.16674049	0.17064853	0.17395976	0.17329472	0.17353313	0.17371559	0.17371598	0.1840419	0.18638559	0.190211	0.32952565	0.34031218	0.3933198	0.44969675	0.49333656	0.48838633	0.500542	0.50497496	0.50429714	0.5303624	0.5904498	0.6579154	0.6878317	0.73643064	0.7452804	0.7460846	0.76599383	0.77474123	0.7868925	0.7908209	0.7875779	0.79953414	0.7815103	0.76860696	0.7688128	0.7847554	0.7883765	0.7887737	0.80055165	0.79754347	0.75605893	0.7713331	0.7644432	0.76596564	0.7749256	0.7726621	0.7731279	0.7418728	0.73264265	0.7264837	0.7155097	0.7217041	0.68016046	0.6998156	0.64691734	0.6301046	0.6516052	0.66708916	0.6435438	0.6237532
L31	0.1516039	0.15572064	0.15795498	0.15758047	0.15783954	0.15803799	0.15805748	0.1683672	0.17144623	0.17581901	0.31133386	0.32210281	0.37434188	0.42959565	0.47089738	0.46623462	0.47777483	0.48216072	0.48055187	0.5057514	0.5639009	0.6297645	0.65904653	0.7070827	0.71493554	0.71390665	0.7308853	0.7398189	0.7517169	0.7561138	0.75183976	0.7650511	0.7473301	0.7358229	0.7375308	0.75501895	0.75868946	0.76007426	0.7747785	0.7745925	0.7355028	0.7580654	0.75251424	0.7544192	0.7723793	0.78223926	0.7845774	0.75900286	0.7506196	0.7503887	0.74260026	0.7467648	0.701913	0.7241328	0.6722755	0.65519947	0.6796854	0.69657624	0.66959995	0.65240276
L32	0.151929	0.1556687	0.15792117	0.15748213	0.15771262	0.15790714	0.15788509	0.16759823	0.17080852	0.17597492	0.3130766	0.32481375	0.37935665	0.4356786	0.47734013	0.4726915	0.48417544	0.49203128	0.4902048	0.5157945	0.57167894	0.63298374	0.6607717	0.70575154	0.7119072	0.71085167	0.72611004	0.73428774	0.74551105	0.7494936	0.7415199	0.75768214	0.7405199	0.728855	0.73083055	0.7459939	0.7471627	0.7481073	0.7647159	0.76713	0.7315127	0.76339906	0.75983655	0.76287377	0.7921903	0.8138069	0.8175828	0.8004207	0.7949542	0.7979994	0.7932132	0.7954751	0.7533343	0.7749976	0.72988117	0.7140575	0.73692006	0.7525686	0.7261226	0.71206695
