encoder	is_pilot	k	k_effective	n_eval	similarity	mean_jsd	accuracy	kappa	max_k_in_data
rinna_bilingual_4b_jp	False	2	2	65	0.38167149479204987	0.42859266004473606	0.16923076923076924	0.039145907473309705	20
rinna_bilingual_4b_jp	False	3	3	65	0.38630250372698294	0.42538268925833933	0.18461538461538463	0.04755322090129954	20
rinna_bilingual_4b_jp	False	5	5	65	0.39677628363903017	0.41812281824249836	0.18461538461538463	0.047026279391424675	20
rinna_bilingual_4b_jp	False	all	20	65	0.3666625332289184	0.43899607943535324	0.16923076923076924	0.027431421446384108	20
rinna_bilingual_4b_jpfull	False	1	1	65	0.4580355079909345	0.37566115959968677	0.24615384615384617	0.12906754170084767	20
rinna_bilingual_4b_jpfull	False	2	2	65	0.4693234900863179	0.3678369266360606	0.24615384615384617	0.1262002743484223	20
rinna_bilingual_4b_jpfull	False	3	3	65	0.47184079703561577	0.36609206242155085	0.2	0.08102229472539424	20
rinna_bilingual_4b_jpfull	False	5	5	65	0.47456645723580093	0.364202778738628	0.23076923076923078	0.12868632707774796	20
rinna_bilingual_4b_jpfull	False	all	20	65	0.4660015429767922	0.3701395249089976	0.15384615384615385	0.05846721095601781	20
rinna_bilingual_4b_jpfull30	False	1	1	65	0.4472568719061767	0.38313234081211833	0.26153846153846155	0.14777383228626062	5
rinna_bilingual_4b_jpfull30	False	2	2	65	0.4804694461319853	0.3601111386283612	0.3384615384615385	0.22875275938189832	5
rinna_bilingual_4b_jpfull30	False	3	3	65	0.49059713377807146	0.3530911604908848	0.2923076923076923	0.1783456993679582	5
rinna_bilingual_4b_jpfull30	False	5	5	65	0.5093076471517972	0.34012202089905763	0.24615384615384617	0.11601443241742992	5
rinna_bilingual_4b_jpfull30	False	all	5	65	0.5093076471517972	0.34012202089905763	0.24615384615384617	0.11601443241742992	5
rinna_jp_3_6b	False	1	1	65	0.38875094433937873	0.42368555955108866	0.13846153846153847	-0.01647584473610708	20
rinna_jp_3_6b	False	2	2	65	0.4302193254826914	0.39494186807921633	0.13846153846153847	-0.01449275362318847	20
rinna_jp_3_6b	False	3	3	65	0.44701722782325304	0.3832984494325347	0.09230769230769231	-0.0700334821428572	20
rinna_jp_3_6b	False	5	5	65	0.45443436400397974	0.37815728240103486	0.12307692307692308	-0.03868797308662719	20
rinna_jp_3_6b	False	all	20	65	0.47002003881846033	0.3673541158462535	0.1076923076923077	-0.061672768234300124	20
rinna_jp_3_6b_jp	False	1	1	65	0.47291868720298114	0.36534492589108825	0.2153846153846154	0.045493809386697115	20
rinna_jp_3_6b_jp	False	2	2	65	0.47259584677039446	0.3655687018267064	0.24615384615384617	0.08477011494252862	20
rinna_jp_3_6b_jp	False	3	3	65	0.47292463713602473	0.3653408017117746	0.27692307692307694	0.11679676206996248	20
rinna_jp_3_6b_jp	False	5	5	65	0.47352383691846067	0.36492546807198695	0.27692307692307694	0.1241399082568807	20
rinna_jp_3_6b_jp	False	all	20	65	0.4597762361246016	0.374454578801714	0.26153846153846155	0.10755148741418774	20
rinna_jp_3_6b_jpfull	False	1	1	65	0.4575291985770513	0.37601210654241085	0.18461538461538463	0.07067709738332872	20
rinna_jp_3_6b_jpfull	False	2	2	65	0.4717083767523945	0.36618384916751456	0.18461538461538463	0.08084311632870855	20
rinna_jp_3_6b_jpfull	False	3	3	65	0.4768956832146731	0.3625882823184858	0.2153846153846154	0.11387329591018436	20
rinna_jp_3_6b_jpfull	False	5	5	65	0.4785955238626115	0.3614100425659661	0.23076923076923078	0.1333333333333333	20
rinna_jp_3_6b_jpfull	False	all	20	65	0.4699553727051138	0.36739893898039744	0.18461538461538463	0.07813754348407809	20
rinna_jp_3_6b_jpfull30	False	1	1	65	0.45853064243724695	0.37531795855422717	0.23076923076923078	0.060965039006067645	5
rinna_jp_3_6b_jpfull30	False	2	2	65	0.49765712595615497	0.3481975468178709	0.3076923076923077	0.17975322490185075	5
rinna_jp_3_6b_jpfull30	False	3	3	65	0.5022015222404337	0.34504761134607603	0.27692307692307694	0.1440179321938918	5
rinna_jp_3_6b_jpfull30	False	5	5	65	0.4997809798715538	0.34672540346449104	0.24615384615384617	0.11404728789986085	5
rinna_jp_3_6b_jpfull30	False	all	5	65	0.4997809798715538	0.34672540346449104	0.24615384615384617	0.11404728789986085	5
