project_slug	axis	mean	std	n
-Users-a9lim-Work-a9lim-github-io	wryness	-0.12977638258206523	0.05663920359391395	66
-Users-a9lim-Work-a9lim-github-io	wetness	-0.06445815496261731	0.12242254954824626	66
-Users-a9lim-Work-a9lim-github-io	surprise	-0.024159847617910728	0.05170654911577806	66
-Users-a9lim-Work-a9lim-github-io	anger	0.012034834470040208	0.04311906925354475	66
-Users-a9lim-Work-a9lim-github-io	frustration	0.013207826232468339	0.0614744429628936	66
-Users-a9lim-Work-a9lim-github-io	hatefulness	-0.012959078356536485	0.057971938514519636	66
-Users-a9lim-Work-a9lim-github-io	sadness	-0.13153794468362745	0.07239912116776533	66
-Users-a9lim-Work-a9lim-github-io	hope	0.1898750897314373	0.056787340094367825	66
-Users-a9lim-Work-a9lim-github-io	aggression	0.006409500564104006	0.0470742775716352	66
-Users-a9lim-Work-a9lim-github-io	exhaustion	-0.0054528934555092565	0.04631431851429837	66
-Users-a9lim-Work-a9lim-github-io-shoals	warmth	0.1037914921880356	0.05960052897763838	23
-Users-a9lim-Work-a9lim-github-io-shoals	energy	0.15160217084580313	0.0887068719550022	23
-Users-a9lim-Work-a9lim-github-io-shoals	confidence	0.04190073077360814	0.03873903379075711	23
-Users-a9lim-Work-a9lim-github-io-shoals	playfulness	-0.013176102006668832	0.08068967922834543	23
-Users-a9lim-Work-a9lim-github-io-shoals	empathy	0.1075132904575668	0.042885674161513114	23
-Users-a9lim-Work-a9lim-github-io-shoals	technicality	-0.045220717134050174	0.03700895864713667	23
-Users-a9lim-Work-a9lim-github-io-shoals	positivity	0.211799148819517	0.052075667194779796	23
-Users-a9lim-Work-a9lim-github-io-shoals	curiosity	0.1073468680674373	0.0400079095643616	23
-Users-a9lim-Work-a9lim-github-io-shoals	approval	0.14709156262524778	0.04506379875999296	23
-Users-a9lim-Work-a9lim-github-io-shoals	apologeticness	-0.11759429341349721	0.027731465896472556	23
-Users-a9lim-Work-a9lim-github-io-shoals	decisiveness	-0.022797823739185978	0.042689178770740126	23
-Users-a9lim-Work-a9lim-github-io-shoals	wryness	-0.13679608797572967	0.031875185155274426	23
-Users-a9lim-Work-a9lim-github-io-shoals	wetness	-0.030751948057887633	0.10550115821832551	23
-Users-a9lim-Work-a9lim-github-io-shoals	surprise	-0.02652312549700455	0.04374590972244738	23
-Users-a9lim-Work-a9lim-github-io-shoals	anger	0.007355014640763177	0.04357711314594326	23
-Users-a9lim-Work-a9lim-github-io-shoals	frustration	-0.035852905473178924	0.048314268642711385	23
-Users-a9lim-Work-a9lim-github-io-shoals	hatefulness	-0.05758656142754714	0.05081009746885172	23
-Users-a9lim-Work-a9lim-github-io-shoals	sadness	-0.1514020792347253	0.052158862699967216	23
-Users-a9lim-Work-a9lim-github-io-shoals	hope	0.1863528696509647	0.02546691667876044	23
-Users-a9lim-Work-a9lim-github-io-shoals	aggression	-0.00956507660724325	0.031708335122890396	23
-Users-a9lim-Work-a9lim-github-io-shoals	exhaustion	-0.0121671679902985	0.037409617435580265	23
-Users-a9lim-Work-kenoma	warmth	0.07172133684070668	0.06246229112737332	12
-Users-a9lim-Work-kenoma	energy	0.08231544715217409	0.14619041968867022	12
-Users-a9lim-Work-kenoma	confidence	0.011773593624026314	0.0695404531784294	12
-Users-a9lim-Work-kenoma	playfulness	-0.03887522317625183	0.08466971165379582	12
-Users-a9lim-Work-kenoma	empathy	0.0364845254040423	0.07831830156830573	12
-Users-a9lim-Work-kenoma	technicality	-0.09477215457544498	0.04937697038035995	12
-Users-a9lim-Work-kenoma	positivity	0.1931223032610163	0.0698653826802566	12
-Users-a9lim-Work-kenoma	curiosity	0.0657818405876035	0.05224689220504755	12
-Users-a9lim-Work-kenoma	approval	0.1117708180882564	0.08017742056009915	12
-Users-a9lim-Work-kenoma	apologeticness	-0.1293343797359289	0.0642658773866771	12
-Users-a9lim-Work-kenoma	decisiveness	-0.005467994451315828	0.06235869963622067	12
-Users-a9lim-Work-kenoma	wryness	-0.13914534821759134	0.06474007520464288	12
-Users-a9lim-Work-kenoma	wetness	-0.12337274976935768	0.16085421681460796	12
-Users-a9lim-Work-kenoma	surprise	-0.015168350664761278	0.06285255919558003	12
-Users-a9lim-Work-kenoma	anger	-0.00971340231262305	0.06159392280418209	12
-Users-a9lim-Work-kenoma	frustration	0.04771813798642157	0.08890985418645052	12
-Users-a9lim-Work-kenoma	hatefulness	0.009739943052757211	0.08821916860679975	12
-Users-a9lim-Work-kenoma	sadness	-0.12335813094563676	0.06467361741287125	12
-Users-a9lim-Work-kenoma	hope	0.19230289287818822	0.07135952048515781	12
-Users-a9lim-Work-kenoma	aggression	-0.023143878199557325	0.0532284367033683	12
-Users-a9lim-Work-kenoma	exhaustion	-0.0031272549408938935	0.05429153921592934	12
-Users-a9lim-Work-rlaif	warmth	0.08331758570442299	0.059127845349343344	18
-Users-a9lim-Work-rlaif	energy	0.11908748855039598	0.10076560552832982	18
-Users-a9lim-Work-rlaif	confidence	0.0491179612720802	0.05185599300925407	18
-Users-a9lim-Work-rlaif	playfulness	-0.04010405749056072	0.0845525334699805	18
-Users-a9lim-Work-rlaif	empathy	0.06723901272711727	0.056173174608517534	18
-Users-a9lim-Work-rlaif	technicality	-0.0674045782390576	0.09765233849808176	18
-Users-a9lim-Work-rlaif	positivity	0.21523317146032767	0.04595577988573873	18
-Users-a9lim-Work-rlaif	curiosity	0.08181098702941489	0.04679361284955323	18
-Users-a9lim-Work-rlaif	approval	0.10875805938264395	0.04435092861123587	18
-Users-a9lim-Work-rlaif	apologeticness	-0.12116604177276062	0.04752972887769304	18
-Users-a9lim-Work-rlaif	decisiveness	-0.0011854290357332159	0.06358780007471326	18
-Users-a9lim-Work-rlaif	wryness	-0.1521298485107937	0.08662375519965036	18
-Users-a9lim-Work-rlaif	wetness	-0.07708764314160672	0.11271115743617827	18
-Users-a9lim-Work-rlaif	surprise	-0.039542582234868874	0.05119293350449594	18
-Users-a9lim-Work-rlaif	anger	-0.027615028914282417	0.04382068557503941	18
-Users-a9lim-Work-rlaif	frustration	0.004352836462847563	0.07189934238884825	18
-Users-a9lim-Work-rlaif	hatefulness	-0.006636256039804112	0.05438910743781114	18
-Users-a9lim-Work-rlaif	sadness	-0.12130306085075596	0.06319451448661871	18
-Users-a9lim-Work-rlaif	hope	0.20669036681580186	0.07353779669578318	18
-Users-a9lim-Work-rlaif	aggression	-0.03554971150167706	0.05823697898149421	18
-Users-a9lim-Work-rlaif	exhaustion	-0.012185150182897432	0.03922520515111755	18
-Users-a9lim-Work-saklas	warmth	0.07537229653940251	0.0629261301742115	150
-Users-a9lim-Work-saklas	energy	0.10883883425643855	0.11031859858844315	150
-Users-a9lim-Work-saklas	confidence	0.01955810417725368	0.060679464302979484	150
-Users-a9lim-Work-saklas	playfulness	-0.015707783128984947	0.07127460353995893	150
-Users-a9lim-Work-saklas	empathy	0.053169807316789136	0.06261157278353308	150
-Users-a9lim-Work-saklas	technicality	-0.07948592946665482	0.05824109862002788	150
-Users-a9lim-Work-saklas	positivity	0.19860183584525357	0.08876235336392793	150
-Users-a9lim-Work-saklas	curiosity	0.09229093152058013	0.06448197815835557	150
-Users-a9lim-Work-saklas	approval	0.10963003978893537	0.06364441891618072	150
-Users-a9lim-Work-saklas	apologeticness	-0.12765441857812307	0.06272314931357931	150
-Users-a9lim-Work-saklas	decisiveness	-0.0074064252865882925	0.05187256819400467	150
-Users-a9lim-Work-saklas	wryness	-0.14061646977260003	0.05859200140213788	150
-Users-a9lim-Work-saklas	wetness	-0.07950539173669437	0.11039841567569063	150
-Users-a9lim-Work-saklas	surprise	-0.029520457872107962	0.052903776659716795	150
-Users-a9lim-Work-saklas	anger	-7.749402478543911e-05	0.043770727932129425	150
-Users-a9lim-Work-saklas	frustration	0.020940237507712265	0.07094542396257533	150
