size	encoders	weighted_correct	weighted_acc	weighted_kappa	majority_correct	majority_resolved	majority_acc_resolved	majority_kappa_resolved	abstain_rate
9	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	90	0.5421686746987951	0.44671520042101565	27	36	0.75	0.68359375	0.7831325301204819
3	gemma,ministral,qwen	90	0.5421686746987951	0.44622947941357205	53	101	0.5247524752475248	0.4258645191852203	0.39156626506024095
6	gemma,gpt_oss_20b,granite,qwen,rinna_bilingual_4b,rinna_jp_3_6b_jpfull	90	0.5421686746987951	0.44400863778590627	28	38	0.7368421052631579	0.670995670995671	0.7710843373493976
8	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	90	0.5421686746987951	0.4444493372671626	32	45	0.7111111111111111	0.6408839779005525	0.7289156626506024
5	gemma,gpt_oss_20b,granite,qwen,rinna_jp_3_6b_jp	90	0.5421686746987951	0.4443269908386187	51	79	0.6455696202531646	0.555912467376029	0.5240963855421688
8	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43760999648011256	31	41	0.7560975609756098	0.6962962962962962	0.7530120481927711
9	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4370898841766856	35	49	0.7142857142857143	0.6447436561367166	0.7048192771084337
4	gemma,gpt_oss_20b,ministral,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43982820580243676	23	38	0.6052631578947368	0.5052083333333333	0.7710843373493976
7	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b	89	0.536144578313253	0.4376347397597783	44	63	0.6984126984126984	0.6300988875154512	0.6204819277108433
10	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b,rinna_bilingual_4b_jpfull,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.4381291485340014	20	25	0.8	0.7514910536779325	0.8493975903614458
8	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jp,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4373872089440556	37	51	0.7254901960784313	0.6559036144578314	0.6927710843373494
7	gemma,gpt_oss_20b,haiku,ministral,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4382279259877817	44	69	0.6376811594202898	0.5484293193717278	0.5843373493975903
3	gemma,qwen,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.4397299903567985	46	90	0.5111111111111111	0.40709687078904033	0.45783132530120485
