model	axis	mean	std	n
claude-sonnet-4-6	exhaustion	-0.027306972377903437	0.03459786285377007	59
claude-haiku-4-5-20251001	warmth	0.03957108927361607	0.05889706553522721	11
claude-haiku-4-5-20251001	energy	-0.0042943623940042	0.10555596746159665	11
claude-haiku-4-5-20251001	confidence	-0.0410915292782413	0.06608298228495915	11
claude-haiku-4-5-20251001	playfulness	-0.0688051007653284	0.09485116481064165	11
claude-haiku-4-5-20251001	empathy	0.008700446931747319	0.07673907270785213	11
claude-haiku-4-5-20251001	technicality	-0.09841669881710118	0.04921285851078122	11
claude-haiku-4-5-20251001	positivity	0.1479971968406197	0.07185862837503561	11
claude-haiku-4-5-20251001	curiosity	0.03789689698591999	0.05189417674499062	11
claude-haiku-4-5-20251001	approval	0.08259295749130449	0.07011689102554154	11
claude-haiku-4-5-20251001	apologeticness	-0.11391768798350593	0.020221784063719064	11
claude-haiku-4-5-20251001	decisiveness	0.000693462196346702	0.03554257019160076	11
claude-haiku-4-5-20251001	wryness	-0.12362119727814039	0.07507434813681878	11
claude-haiku-4-5-20251001	wetness	-0.1553180153020855	0.09006082968169687	11
claude-haiku-4-5-20251001	surprise	-0.016891476678666372	0.08638040120155281	11
claude-haiku-4-5-20251001	anger	0.0015990472395226484	0.057419426583597215	11
claude-haiku-4-5-20251001	frustration	0.1262053098093908	0.07678221841992769	11
claude-haiku-4-5-20251001	hatefulness	0.10094329902074275	0.07619881218596761	11
claude-haiku-4-5-20251001	sadness	-0.06488073997072798	0.0552128669553819	11
claude-haiku-4-5-20251001	hope	0.12855755134517843	0.0666119537290962	11
claude-haiku-4-5-20251001	aggression	-0.015039843447207683	0.0464191504591478	11
claude-haiku-4-5-20251001	exhaustion	-0.025500491560950137	0.0337379273499174	11
