encoder	is_pilot	k	k_effective	n_eval	similarity	mean_jsd	accuracy	kappa	max_k_in_data
rinna_bilingual_4b_jp	False	5	5	46	0.43478328468030536	0.39177837262919957	0.2391304347826087	0.036505086774386464	20
rinna_bilingual_4b_jp	False	all	20	46	0.40280479155159565	0.4139441749799203	0.2391304347826087	0.024242424242424288	20
rinna_jp_3_6b	False	1	1	46	0.44706534048553603	0.38326510027632404	0.17391304347826086	-0.03005303476723631	20
rinna_jp_3_6b	False	2	2	46	0.45912671810433625	0.3749047903861838	0.2391304347826087	0.054609512624779755	20
rinna_jp_3_6b	False	3	3	46	0.4619230645343054	0.3729665107423818	0.15217391304347827	-0.021058622652248005	20
rinna_jp_3_6b	False	5	5	46	0.45875538713996633	0.37516217739719143	0.1956521739130435	0.03841807909604522	20
rinna_jp_3_6b	False	all	20	46	0.4553312502554574	0.37753560822454013	0.13043478260869565	-0.04131295981890193	20
rinna_jp_3_6b_jp	False	1	1	46	0.4863213680894891	0.35605489542266056	0.2391304347826087	0.04166666666666663	20
rinna_jp_3_6b_jp	False	2	2	46	0.4918361433018017	0.3522323445328242	0.2608695652173913	0.06849315068493156	20
rinna_jp_3_6b_jp	False	3	3	46	0.4979458654953305	0.34799740782037525	0.2826086956521739	0.08664259927797835	20
rinna_jp_3_6b_jp	False	5	5	46	0.49879429188736546	0.3474093234588235	0.32608695652173914	0.14302884615384592	20
rinna_jp_3_6b_jp	False	all	20	46	0.5151828484634551	0.33604964167465984	0.3695652173913043	0.1825980392156863	20
