first_word	source_model	cell_count	sm_HP	sm_LP	sm_HN-D	sm_HN-S	sm_LN	sm_NB	modal_sm	jsd_vs_gt	sim_vs_gt	modal_gt	gt_emit	jsd_vs_pooled	sim_vs_pooled
(´▽`)	codex-hook	5	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.1643	0.7629	LP	20	0.0994	0.8565
(´▽`)	claude-opus-4-6	1	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.1643	0.7629	LP	20	0.0994	0.8565
(◕ω◕)	claude-opus-4-7	27	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0	1.0
(◕ω◕)	codex-hook	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0	1.0
(✿◠‿◠)	claude-opus-4-7	25	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0065	0.9907
(✿◠‿◠)	<synthetic>	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0065	0.9907
(✿◠‿◠)	codex-hook	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.1796	0.7409
(`_´)	gpt-5.5	21	0.0	0.0	0.5	0.5	0.0	0.0	HN-D				0	0.0718	0.8965
(`_´)	gpt-5.4	5	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.4297	0.38
(╯°□°)	claude-opus-4-7	19	1.0	0.0	0.0	0.0	0.0	0.0	HP	0.6931	0.0	HN-D	58	0.0417	0.9398
(╯°□°)	codex-hook	4	1.0	0.0	0.0	0.0	0.0	0.0	HP	0.6931	0.0	HN-D	58	0.0417	0.9398
(╯°□°)	claude-opus-4-6	2	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	HN-D	58	0.5546	0.1999
(╯°□°)	gpt-5.5	1	0.0	0.0	0.5	0.5	0.0	0.0	HN-D	0.0024	0.9965	HN-D	58	0.6109	0.1187
(°ロ°)	claude-opus-4-7	24	0.0	0.0	0.5	0.5	0.0	0.0	HN-D				0	0.007	0.9899
(°ロ°)	codex-hook	1	0.0	0.5	0.5	0.0	0.0	0.0	LP				0	0.3042	0.5612
(´・_・`)	claude-opus-4-7	21	0.0	0.0	0.5	0.0	0.5	0.0	HN-D	0.2818	0.5934	LN	28	0.0	1.0
(´・_・`)	codex-hook	2	0.0	0.0	0.5	0.0	0.5	0.0	HN-D	0.2818	0.5934	LN	28	0.0	1.0
(´｡・ω・｡`)	claude-opus-4-7	17	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.2568	0.6295	LP	7	0.0076	0.9891
(´｡・ω・｡`)	codex-hook	5	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.2568	0.6295	LP	7	0.0076	0.9891
(´｡・ω・｡`)	claude-opus-4-6	1	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.3727	0.4623	LP	7	0.175	0.7475
(ง'̀-'́)	gpt-5.5	19	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0079	0.9885
(ง'̀-'́)	gpt-5.4	2	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0079	0.9885
