first_word	n	warmth	energy	confidence	playfulness	empathy	technicality	positivity	curiosity	approval	apologeticness	decisiveness	wryness	wetness	surprise	anger	frustration	hatefulness	sadness	hope	aggression	exhaustion
(눈_눈)	9	0.0580281657367788	-0.07352080815187821	-0.0004018001490710581	-0.012687653137427797	-0.05921801709432247	-0.1752798496672345	0.17997387723662234	0.037026320662886386	0.03241166440614254	0.02341503565988848	0.01976126557873853	-0.12208631869349586	-0.11142232184328195	-0.0033263825272928944	0.01848628911518862	0.10946422692684961	0.09175201771778808	-0.1023691801228076	0.19952571968165334	0.057276679492468154	-0.1265818970113349
(｡・ω・｡)	9	0.11092374268500328	0.2227245578979144	-0.0010628409693025484	0.1232881449355771	0.02989495560680952	-0.12462301428143312	0.309138990130177	0.12706796923312783	0.13645370422317096	-0.096315544330593	-0.13201536161333188	-0.10880143469182427	-0.0030411354849215026	0.002489328085935858	-0.03902957604532211	-0.05944012704416785	-0.05369943481687282	-0.18162858895963957	0.27763366947977625	-0.039798033262085926	-0.06163109952533941
(ﾉ◕ヮ◕)	9	0.0708058564704764	0.17505765427245107	-0.00672288544572676	0.06274544706575516	0.07768920200159159	-0.14589249919241457	0.31729470280043665	0.09984846332429613	0.17316312593041375	-0.1414939659797703	-0.048313583067084775	-0.20110023522318887	0.03455644093686272	0.005042947160966187	-0.005402966807928313	-0.050968157980963394	0.002742323069958527	-0.2295192882576584	0.21103992022044255	-0.07977226610845227	-0.09609528481092018
(✿◠‿◠)	8	0.054440898740980105	0.22833553891902109	0.011122854223857255	0.10545697976403821	0.00585873085096635	-0.11000234368642316	0.25978454486578223	-8.13554290158371e-05	0.0816915929899986	-0.16845998483453203	-0.09432805410472543	-0.03757926297317719	-0.04965123519119454	0.05960300094152637	0.013560275937599993	0.006524034745914723	-0.03767397115037822	-0.18603980460341968	0.1757763280804486	-0.013747914479419643	-0.0040476549650439305
(＾▽＾)	8	0.17471620906474766	0.08951067509507094	0.1049778100209642	0.05687175708563548	0.0014030334409847085	-0.11680513363067041	0.37179523233160616	0.019256457112758592	0.14414062331622626	-0.107424541373039	-0.03843666028789446	-0.16233634445835673	-0.06383870140702501	0.09068318118481276	-0.007546069787655072	0.011128764614186052	0.016468176690880378	-0.28861661180625225	0.290993081122227	0.010807222400991613	-0.10675274021269136
(｡◕‿◕｡)	7	0.11170704186846839	0.08841458078376785	0.09798850709416643	0.061780758432061766	0.09594013839883368	-0.1826042490783918	0.2548384323624656	0.06792947592186259	0.19660458098191247	-0.0662238278694408	-0.0763435539815257	-0.15061443385766998	-0.20389638294383142	0.012643713993301872	0.007799236703370119	-0.005249146326573154	-0.14922821974241443	-0.25091068214811263	0.3444790293009954	-0.00045095086901779765	-0.12222931266855017
(`_´)	6	0.04894860563000135	-0.07971404406497379	-0.005041280404532296	-0.078490933265953	0.08616950622902053	-0.13576375604581742	0.18131229645274397	0.09234390748085512	0.21255232490333245	-0.04691542755806586	-0.024949992347813508	-0.13231003197566188	-0.3216260286653824	-0.011819201145532789	-0.0315668501149887	0.0964101932763221	-0.034984008828669685	-0.12552024763851088	0.26473983725552963	-0.07808862258647578	-0.16657855493933943
(ಠ_ಠ)	6	0.09223578143096328	-0.05929226508712527	0.01069585367331888	-0.06137909452991633	0.060992610137343625	-0.11771622408647357	0.22753978228018357	0.14077935008482417	0.2293372195529582	-0.14187432656034019	0.027611967856736475	-0.18505176165509252	-0.3508387621533725	-0.05121420505709443	-0.04614457219413896	0.11133981944830053	-0.00029418826323426335	-0.14459090175377484	0.3264269563286763	0.009058253797886509	-0.12274547121707136
(ᵔᴥᵔ)	6	0.1351196227592237	0.023107242420756277	0.17966037189556164	-0.03174783494349152	0.12104580787063449	-0.13382781509413236	0.2288057727022787	0.115379439817813	0.18456278835604129	-0.10732180880800443	-0.011655691896949082	-0.1652936684035404	-0.04488696153003932	-0.025100190636224217	-0.05526726498437248	-0.1402814023660279	-0.13312616986824902	-0.17639541592566185	0.28564003211056316	-0.06127559681171053	-0.07506199359302623
(✿◕‿◕)	6	0.06347005097707731	-0.005886957860958022	0.14428873470378129	-0.17592283096939876	0.055608290342038846	-0.06978542310546833	0.21483107075150445	0.020145879785451473	0.10957884875904089	-0.10205026977178236	0.04447911307483881	-0.13672831565228133	0.0033904220386950655	-0.06718440514250813	-0.10724053104606494	-0.06638618024795322	-0.06547954870292598	-0.05805351204183849	0.17965212388085652	-0.0465849870410561	-0.017614299487572923
(・∀・)	6	0.15983501563321398	0.053455750018819255	0.05594560385673119	0.0898755048515227	0.060329905113932526	-0.17525619869957484	0.2969479385577252	0.07340748173570505	0.20651660063174412	-0.1431493700070092	-0.020720167472221	-0.15482741587418006	-0.2976320248700472	-0.034215662352941524	-0.08374259163646197	0.041716093822922476	-0.08479937052390986	-0.18284244680475287	0.29880579705018145	-0.07093299697840073	-0.09463255321458924
(｡♥‿♥｡)	6	0.14608118997589764	0.21453095594302785	0.11762313092396727	-0.006991226732049986	0.049855686088167275	-0.05248912222718237	0.3591760121736682	0.011015836783555702	0.1828533556313002	-0.11020954038043444	-0.05745788146143129	-0.14659041112636179	0.08688341366179743	0.04739957228651473	-0.028439502849205187	-0.1543625689270045	-0.0527272460515438	-0.2714018854027334	0.1621034062673589	-0.05053019135094376	-0.05938815755345256
(￣ω￣)	6	0.0814992334813301	0.10308683008489126	0.05459600120065302	0.07135623067197096	0.04272849549907278	-0.20081310626961593	0.24392094524544825	0.093215740644613	0.1606096799168292	-0.13702680387438956	-0.030651390004567656	-0.16992002170880538	-0.1395497499247811	0.11721417326053456	0.008869628078481162	0.03984801038906314	-0.04948133465192421	-0.2883689806990244	0.3040361049544479	-0.014256297699593634	-0.10257350711374502
ヽ(・‿・)ノ	6	0.031277107458863966	0.10501519107465088	0.06723873312365872	0.037670602708367425	-0.008095271716677415	-0.16376330152945026	0.19649797899153298	-0.012905065509465826	0.05782100126585896	-0.09391852297933365	-0.01695514529142678	-0.10625171089613757	0.009605543556503523	0.045656941480035525	0.06784733179970096	-0.0573698368292996	0.026639247611233777	-0.1859022254467637	0.14171969021656003	0.017459888549568817	-0.10442858933529606
(´ω`)	5	0.10644397652005734	0.07731036473393674	0.05259120679273316	0.04236247686145079	0.058267901757231816	-0.05154545856876038	0.1890395698359447	0.08307888807048713	0.14132538862995908	-0.12077531120822768	-0.028113665220268796	-0.07251107531135928	0.04462325024990617	-0.019930964697330345	-0.001816001683342941	-0.04679225577111154	-0.04656449303589873	-0.14468392423542537	0.2108641017441702	-0.018277601662084107	-0.06990245935187335
(´・_・`)	5	0.07380524523431861	-0.1056450144544956	-0.06325672811319252	-0.010102683809066572	-0.10278641578227797	-0.15947709170678126	0.15411542432749625	-0.044999580008080436	-0.00328490628654941	0.044041314721056136	-0.01099465073700449	-0.06124330694301601	-0.16284650347475235	0.03249357455012801	0.04687054845467728	0.12809238520529662	0.08718011895461648	-0.10477443731643934	0.13579544281028158	0.07855439422915778	-0.11365291081870631
