project_slug	axis	n	mean	std
a9lim	sadness	10	0.025506097823381424	0.03487643599510193
a9lim	hope	10	-0.0022432482801377773	0.06128571555018425
a9lim	aggression	10	-0.014271572232246399	0.032813865691423416
a9lim	exhaustion	10	-0.022993631660938263	0.048685528337955475
a9lim.github.io	warmth	64	-0.01870053820312023	0.04894251376390457
a9lim.github.io	energy	64	0.009674550965428352	0.07058420777320862
a9lim.github.io	confidence	64	-0.008527340367436409	0.04408784583210945
a9lim.github.io	playfulness	64	-0.031064292415976524	0.06137646362185478
a9lim.github.io	empathy	64	0.032868966460227966	0.05295952409505844
a9lim.github.io	technicality	64	-0.02631908655166626	0.06026182696223259
a9lim.github.io	positivity	64	0.015785686671733856	0.044699907302856445
a9lim.github.io	curiosity	64	0.059741947799921036	0.06451266258955002
a9lim.github.io	approval	64	0.010752208530902863	0.05836767703294754
a9lim.github.io	apologeticness	64	-0.009933287277817726	0.07076063007116318
a9lim.github.io	decisiveness	64	0.01662491075694561	0.0648665651679039
a9lim.github.io	wryness	64	-0.020510388538241386	0.053988076746463776
a9lim.github.io	wetness	64	-0.01288119051605463	0.07578621059656143
a9lim.github.io	surprise	64	-0.01225695013999939	0.05611744150519371
a9lim.github.io	anger	64	0.00738879619166255	0.05187581479549408
a9lim.github.io	frustration	64	-0.01801309362053871	0.06532011926174164
a9lim.github.io	hatefulness	64	-0.014756934717297554	0.052396390587091446
a9lim.github.io	sadness	64	0.00176875083707273	0.05867898836731911
a9lim.github.io	hope	64	0.014089249074459076	0.06388877332210541
a9lim.github.io	aggression	64	-0.02193281054496765	0.048860546201467514
a9lim.github.io	exhaustion	64	-0.046045850962400436	0.06629860401153564
brie	warmth	12	-0.014215203933417797	0.08132438361644745
brie	energy	12	-0.018729042261838913	0.053139492869377136
brie	confidence	12	-0.015138019807636738	0.04238997399806976
brie	playfulness	12	-0.004466360434889793	0.06233157590031624
brie	empathy	12	0.03272920474410057	0.056464143097400665
brie	technicality	12	-0.08951269835233688	0.09402798861265182
brie	positivity	12	0.06814029067754745	0.036781542003154755
brie	curiosity	12	0.04940548166632652	0.05897262692451477
brie	approval	12	0.000989144085906446	0.05640497803688049
brie	apologeticness	12	0.0007050831918604672	0.06059322506189346
brie	decisiveness	12	-0.018954677507281303	0.038767311722040176
brie	wryness	12	-0.011142700910568237	0.06276170909404755
brie	wetness	12	-0.01760898157954216	0.03930605575442314
brie	surprise	12	-0.03245050460100174	0.06579983234405518
brie	anger	12	0.007256178185343742	0.04632889851927757
brie	frustration	12	-0.008184410631656647	0.05268232151865959
brie	hatefulness	12	0.01230661291629076	0.06786388158798218
brie	sadness	12	-0.01644780859351158	0.03617948666214943
brie	hope	12	0.045381128787994385	0.0584353543817997
brie	aggression	12	-0.006251189857721329	0.0652710422873497
brie	exhaustion	12	-0.03130252659320831	0.05815543234348297
claudedriven	warmth	13	-0.0834289938211441	0.0521436482667923
claudedriven	energy	13	0.05171341076493263	0.10794498026371002
claudedriven	confidence	13	-0.03792181611061096	0.039797332137823105
claudedriven	playfulness	13	-0.030975062400102615	0.04989871382713318
claudedriven	empathy	13	0.02827415056526661	0.055705223232507706
claudedriven	technicality	13	-0.045142147690057755	0.04361927881836891
claudedriven	positivity	13	-0.005051597487181425	0.07448705285787582
claudedriven	curiosity	13	0.06757627427577972	0.08866659551858902
claudedriven	approval	13	-0.006054095923900604	0.07523911446332932
claudedriven	apologeticness	13	-0.011637619696557522	0.08972593396902084
claudedriven	decisiveness	13	-0.029706891626119614	0.06034932658076286
claudedriven	wryness	13	-0.033890869468450546	0.06687182933092117
claudedriven	wetness	13	-0.002846107352524996	0.05429812893271446
claudedriven	surprise	13	-0.06757999211549759	0.06275349855422974
claudedriven	anger	13	-0.004398399032652378	0.05450098589062691
claudedriven	frustration	13	0.009335849434137344	0.08935171365737915
claudedriven	hatefulness	13	-0.010563026182353497	0.04497872292995453
claudedriven	sadness	13	-0.016600560396909714	0.07239216566085815
claudedriven	hope	13	0.01783629320561886	0.09024570137262344
claudedriven	aggression	13	-0.047673679888248444	0.07004743814468384
claudedriven	exhaustion	13	-0.01959373615682125	0.060939960181713104
faithful	warmth	37	-0.005377959925681353	0.04735572263598442
faithful	energy	37	-0.01914687640964985	0.06959888339042664
faithful	confidence	37	-0.007316313683986664	0.04683512821793556
faithful	playfulness	37	0.007593420799821615	0.047548871487379074
faithful	empathy	37	0.03893924504518509	0.050955384969711304
faithful	technicality	37	-0.029628807678818703	0.06941765546798706
faithful	positivity	37	0.0010796411661431193	0.0488712303340435
faithful	curiosity	37	0.05909723788499832	0.08154319226741791
faithful	approval	37	0.03554916009306908	0.046738624572753906
faithful	apologeticness	37	-0.019150489941239357	0.05175713449716568
faithful	decisiveness	37	-0.006337080150842667	0.048012327402830124
faithful	wryness	37	-0.03718450665473938	0.05587806552648544
faithful	wetness	37	-0.04182565212249756	0.06331862509250641
faithful	surprise	37	-0.03270382061600685	0.06683165580034256
faithful	anger	37	-0.014585527591407299	0.04321812093257904
faithful	frustration	37	0.02791653759777546	0.06856366991996765
faithful	hatefulness	37	-0.0027573087718337774	0.031958162784576416
faithful	sadness	37	-0.009022154845297337	0.04116556793451309
faithful	hope	37	0.019342202693223953	0.06043500825762749
faithful	aggression	37	-0.05052692070603371	0.061954788863658905
faithful	exhaustion	37	-0.06540104001760483	0.05601349100470543
geon	warmth	11	-0.005391557235270739	0.03460794314742088
geon	energy	11	0.016269756481051445	0.06967314332723618
geon	confidence	11	-0.013763818889856339	0.04250175133347511
geon	playfulness	11	-0.02172369509935379	0.060309555381536484
geon	empathy	11	0.008095556870102882	0.05019234120845795
geon	technicality	11	-0.05137813091278076	0.07004372775554657
geon	positivity	11	0.04751483350992203	0.04677246883511543
geon	curiosity	11	0.05749734863638878	0.09004193544387817
geon	approval	11	-0.012600376270711422	0.060056839138269424
geon	apologeticness	11	0.02092882990837097	0.062209565192461014
geon	decisiveness	11	0.02914333902299404	0.04808637499809265
geon	wryness	11	0.041164692491292953	0.06202017515897751
geon	wetness	11	-0.019910480827093124	0.049700573086738586
geon	surprise	11	0.015073392540216446	0.06553154438734055
geon	anger	11	0.01852595806121826	0.05408702418208122
geon	frustration	11	0.00598085718229413	0.06504146754741669
geon	hatefulness	11	-0.006206175312399864	0.055670782923698425
geon	sadness	11	-0.0382734052836895	0.06946298480033875
geon	hope	11	0.017558468505740166	0.07443372905254364
