size	encoders	mean_jsd	similarity	mean_jsd_weighted	similarity_weighted	accuracy	n_correct	kappa
4	bol,gemma,gemma_intro_v7_primed,ministral	0.13136837432307877	0.8104754978344493	0.09361156687141864	0.8649470567047588	0.6666666666666666	36	0.585854282062207
6	gemma,gemma_intro_v7_primed,haiku,ministral,opus,qwen	0.13164439831061617	0.8100772793964626	0.07331466271107125	0.8942292996822905	0.7037037037037037	38	0.6287064890416846
6	bol,gemma,gemma_intro_v7_primed,granite,haiku,opus	0.13166559177943982	0.8100467036840915	0.10133072386577344	0.8538106671891598	0.7962962962962963	43	0.7430795847750865
5	bol,gemma,gemma_intro_v7_primed,haiku,ministral	0.13171304311153414	0.8099782458825955	0.08920510812003282	0.8713042328932649	0.7407407407407407	40	0.6751181779114741
5	gemma,gemma_intro_v7_primed,gpt_oss_20b,opus,qwen	0.13176408746011162	0.8099046044540373	0.07592936454378492	0.8904570823148312	0.6851851851851852	37	0.6081946222791292
5	bol,gemma,gemma_intro_v7_primed,granite,opus	0.1318455228045275	0.8097871180864955	0.10786861944311757	0.8443784776618755	0.7962962962962963	43	0.7434125269978402
4	gemma,gemma_intro_v7_primed,opus,rinna_jp_3_6b	0.13191273603768017	0.809690149888344	0.07882657844102489	0.8862772861928885	0.6851851851851852	37	0.6081946222791292
4	gemma,gemma_intro_v7_primed,granite,ministral	0.1319317634476029	0.8096626991384075	0.0851956770686503	0.8770886191878806	0.7222222222222222	39	0.6520618556701031
3	gemma_intro_v7_primed,granite,opus	0.13219740726374743	0.809279456122213	0.09646458112001964	0.8608310271967166	0.7592592592592593	41	0.6939843068875327
4	gemma,granite,haiku,opus	0.13223506834451695	0.8092251226677523	0.0911998281757132	0.868426460160973	0.7592592592592593	41	0.6953125
5	gemma,gemma_intro_v7_primed,granite,opus,rinna_jp_3_6b_jp	0.13226143836431473	0.8091870787709619	0.09119654818832752	0.8684311921825085	0.7407407407407407	40	0.6748387096774193
6	gemma,gemma_intro_v7_primed,granite,haiku,opus,rinna_jp_3_6b_jp	0.13231935173787704	0.8091035274341223	0.08858933976821685	0.8721925988407662	0.7407407407407407	40	0.6739974126778785
4	gemma_intro_v7_primed,granite,haiku,opus	0.1323422810512451	0.8090704474274353	0.09096488116145693	0.8687654170533122	0.7222222222222222	39	0.6484375
6	bol,gemma,gemma_intro_v7_primed,gpt_oss_20b,haiku,opus	0.13252926241415774	0.8088006903424225	0.09206965385834784	0.8671715669621982	0.7592592592592593	41	0.6955767562879445
5	gemma,gemma_intro_v7_primed,granite,haiku,qwen	0.1326063450252932	0.8086894836415986	0.0821778586366081	0.8814424108740913	0.7407407407407407	40	0.675118177911474
6	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,haiku,ministral	0.1326142097597364	0.8086781372282195	0.07873000718137618	0.8864166090702761	0.7592592592592593	41	0.6976744186046512
7	bol,gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,haiku,opus	0.1326182601673916	0.8086722937251818	0.09317324834591513	0.8655794166678324	0.7962962962962963	43	0.7430795847750865
5	gemma,gemma_intro_v7_primed,ministral,opus,rinna_jp_3_6b_jp	0.13270298478439138	0.8085500619403949	0.07906052375110698	0.8859397744541938	0.6851851851851852	37	0.607859888936352
5	gemma,gemma_intro_v7_primed,haiku,opus,rinna_jp_3_6b_jp	0.13274589632946723	0.8084881536671171	0.08708430766825402	0.8743639011877612	0.7037037037037037	38	0.6290253327608416
5	bol,gemma,gemma_intro_v7_primed,haiku,opus	0.13276989439408987	0.8084535317782952	0.10245858408548775	0.8521835088433619	0.7407407407407407	40	0.6728688879273041
4	gemma,gemma_intro_v7_primed,opus,rinna_bilingual_4b	0.13282567815888893	0.8083730528174574	0.08439597337683465	0.8782423477382437	0.6851851851851852	37	0.6090289608177172
5	bol,gemma,gemma_intro_v7_primed,opus,qwen	0.1329706046554438	0.8081639680795843	0.0901171219189594	0.8699884751083311	0.7592592592592593	41	0.6980645161290323
3	gemma,granite,opus	0.1329758981323822	0.8081563312066562	0.09786832308121965	0.8588058556306055	0.7777777777777778	42	0.7191157347204162
4	gemma,gemma_intro_v7_primed,haiku,qwen	0.13308545730166627	0.8079982707364461	0.078481529506458	0.8867750865796522	0.6851851851851852	37	0.6085287846481877
7	bol,gemma,gemma_intro_v7_primed,gpt_oss_20b,haiku,ministral,opus	0.13310347344218196	0.8079722789398682	0.08389962327139266	0.8789584295739096	0.7592592592592593	41	0.6962353959324967
6	gemma,gemma_intro_v7_primed,granite,haiku,opus,rinna_jp_3_6b	0.1332329586971308	0.8077854712046852	0.0806767240126728	0.8836080903517494	0.7407407407407407	40	0.6739974126778785
5	gemma,gemma_intro_v7_primed,granite,opus,rinna_jp_3_6b	0.13330401930924207	0.8076829524119898	0.08152941833893151	0.8823779124758618	0.7962962962962963	43	0.7430795847750865
4	gemma,gpt_oss_20b,haiku,opus	0.1334448663479534	0.8074797530877171	0.08077989573967971	0.8834592450128366	0.7037037037037037	38	0.6256499133448874
3	gemma_intro_v7_primed,haiku,ministral	0.1334582535189545	0.8074604394825022	0.07494357028999314	0.8918792827961134	0.7222222222222222	39	0.6513129573826948
6	gemma,gemma_intro_v7_primed,haiku,ministral,opus,rinna_jp_3_6b_jp	0.133464495181965	0.8074514346662302	0.07888267226195772	0.8861963599156042	0.7037037037037037	38	0.6287064890416846
3	gemma,haiku,ministral	0.13363494889373545	0.8072055219415578	0.07352736757914921	0.8939224314239415	0.7037037037037037	38	0.6301369863013699
7	gemma,gemma_intro_v7_primed,granite,haiku,ministral,opus,qwen	0.1336862122237468	0.8071315645895709	0.07717764574576415	0.8886561932151008	0.7592592592592593	41	0.6966292134831461
6	bol,gemma,gemma_intro_v7_primed,granite,haiku,ministral	0.1337990959631598	0.8069687077785228	0.09293060559472081	0.8659294761616881	0.7962962962962963	43	0.7430795847750865
5	gemma,gemma_intro_v7_primed,haiku,opus,rinna_jp_3_6b	0.13391400445937635	0.8068029298608752	0.07969390668251077	0.8850259960400739	0.7222222222222222	39	0.6514629948364888
6	gemma,gemma_intro_v7_primed,gpt_oss_20b,haiku,opus,qwen	0.13394921094836254	0.8067521376338077	0.07755834414877605	0.8881069615170012	0.7222222222222222	39	0.6514629948364888
7	bol,gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,ministral,opus	0.1339812528321294	0.8067059109669965	0.0876881367818108	0.8734927599200885	0.7962962962962963	43	0.7428571428571429
6	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,opus,qwen	0.13408186947870798	0.8065607518299467	0.08022532025977896	0.884259328307488	0.7777777777777778	42	0.7200863930885528
4	bol,gemma,gemma_intro_v7_primed,gpt_oss_20b	0.13425348373764262	0.8063131647896359	0.10113407279097852	0.8540943747195519	0.6666666666666666	36	0.585854282062207
6	gemma,gemma_intro_v7_primed,granite,ministral,opus,qwen	0.13433369206513218	0.8061974486333288	0.07787246174008373	0.8876537856257657	0.7407407407407407	40	0.6742783283067644
6	bol,gemma,gemma_intro_v7_primed,granite,opus,qwen	0.1344778465462561	0.8059894776782893	0.09268441077653636	0.8662846602049754	0.8148148148148148	44	0.7659297789336801
7	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,haiku,opus,qwen	0.13450618967856245	0.8059485871818677	0.08021616521975468	0.8842725362383301	0.7407407407407407	40	0.6739974126778785
